INFO  - 2016-06-22 11:19:14.340; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/
INFO  - 2016-06-22 11:19:14.356; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-06-22 11:19:14.360; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/, dataDir=/home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/data/
INFO  - 2016-06-22 11:19:14.370; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-06-22 11:19:14.374; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-06-22 11:19:14.374; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-06-22 11:19:14.388; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/data
INFO  - 2016-06-22 11:19:14.419; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/data/index/
INFO  - 2016-06-22 11:19:14.419; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/data/index
INFO  - 2016-06-22 11:19:14.428; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-06-22 11:19:14.429; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-06-22 11:19:14.429; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-06-22 11:19:14.431; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-06-22 11:19:14.431; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-06-22 11:19:14.488; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-06-22 11:19:14.493; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-22 11:19:14.493; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-22 11:19:14.493; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-22 11:19:14.494; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-22 11:19:14.496; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-06-22 11:19:14.497; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-06-22 11:19:14.498; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-06-22 11:19:14.498; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2016-06-22 11:19:14.499; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2016-06-22 11:19:14.499; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-22 11:19:14.500; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-06-22 11:19:14.500; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-06-22 11:19:14.500; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-06-22 11:19:14.500; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-06-22 11:19:14.500; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-06-22 11:19:14.500; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-06-22 11:19:14.501; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-06-22 11:19:14.502; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-06-22 11:19:14.503; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-06-22 11:19:14.506; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
